------------------------------------------------------------------------------------
Date: 5/2/2025 -- 08:47:32 (uptime: 0d, 00h 00m 15s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
tcp.segment_from_pool                         | Total                     | 660
app_layer.flow.http                           | Total                     | 144
app_layer.tx.http                             | Total                     | 144
flow.mgr.full_hash_pass                       | Total                     | 3
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10100
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 141
flow.mgr.flows_notimeout                      | Total                     | 141
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 2125824
http.memuse                                   | Total                     | 38116
flow.memuse                                   | Total                     | 7629504
------------------------------------------------------------------------------------
Date: 5/2/2025 -- 08:49:15 (uptime: 0d, 00h 00m 46s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 2814
capture.afpacket.polls                        | Total                     | 5527
capture.afpacket.poll_timeout                 | Total                     | 4448
capture.afpacket.poll_data                    | Total                     | 1079
decoder.pkts                                  | Total                     | 2819
decoder.bytes                                 | Total                     | 623346
decoder.ipv4                                  | Total                     | 2819
decoder.ethernet                              | Total                     | 2819
decoder.tcp                                   | Total                     | 2819
tcp.syn                                       | Total                     | 192
tcp.synack                                    | Total                     | 192
decoder.avg_pkt_size                          | Total                     | 221
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 192
flow.total                                    | Total                     | 208
flow.active                                   | Total                     | 208
flow.tcp                                      | Total                     | 208
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
tcp.sessions                                  | Total                     | 192
tcp.ssn_from_pool                             | Total                     | 192
tcp.segment_from_pool                         | Total                     | 880
app_layer.flow.http                           | Total                     | 192
app_layer.tx.http                             | Total                     | 192
flow.mgr.full_hash_pass                       | Total                     | 4
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10100
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 190
flow.mgr.flows_notimeout                      | Total                     | 190
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 2375680
http.memuse                                   | Total                     | 44504
flow.memuse                                   | Total                     | 7629504
------------------------------------------------------------------------------------
Date: 5/2/2025 -- 08:49:23 (uptime: 0d, 00h 00m 54s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 3095
capture.afpacket.polls                        | Total                     | 6656
capture.afpacket.poll_timeout                 | Total                     | 5259
capture.afpacket.poll_data                    | Total                     | 1397
decoder.pkts                                  | Total                     | 3490
decoder.bytes                                 | Total                     | 772166
decoder.ipv4                                  | Total                     | 3490
decoder.ethernet                              | Total                     | 3490
decoder.tcp                                   | Total                     | 3490
tcp.syn                                       | Total                     | 240
tcp.synack                                    | Total                     | 240
decoder.avg_pkt_size                          | Total                     | 221
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 240
flow.total                                    | Total                     | 256
flow.active                                   | Total                     | 256
flow.tcp                                      | Total                     | 256
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
tcp.sessions                                  | Total                     | 240
tcp.ssn_from_pool                             | Total                     | 240
tcp.segment_from_pool                         | Total                     | 1087
app_layer.flow.http                           | Total                     | 237
app_layer.tx.http                             | Total                     | 240
flow.mgr.full_hash_pass                       | Total                     | 5
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10100
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 214
flow.mgr.flows_notimeout                      | Total                     | 214
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 2625536
http.memuse                                   | Total                     | 55630
flow.memuse                                   | Total                     | 7629504
------------------------------------------------------------------------------------
Date: 5/2/2025 -- 08:49:31 (uptime: 0d, 00h 01m 02s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 3540
capture.afpacket.polls                        | Total                     | 7635
capture.afpacket.poll_timeout                 | Total                     | 6214
capture.afpacket.poll_data                    | Total                     | 1421
decoder.pkts                                  | Total                     | 3553
decoder.bytes                                 | Total                     | 798474
decoder.ipv4                                  | Total                     | 3553
decoder.ethernet                              | Total                     | 3553
decoder.tcp                                   | Total                     | 3553
tcp.syn                                       | Total                     | 241
tcp.synack                                    | Total                     | 241
decoder.avg_pkt_size                          | Total                     | 224
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 241
flow.total                                    | Total                     | 257
